name,type,district,city,address,phone,website,mapsUrl
Bệnh viện Đa khoa Huyện Krông Nô,public,,,,,,"https://www.google.com/maps/search/?api=1&query=12.4856427,107.8619135"
Bệnh viện Đa khoa huyện Mỹ Xuyên,public,,,,,,"https://www.google.com/maps/search/?api=1&query=9.5598055,105.988788"
Bệnh viện Đa khoa huyện Nghi Lộc,public,,,,,,"https://www.google.com/maps/search/?api=1&query=18.7859742,105.6680906"
Bệnh viện Đa khoa huyện Nho Quan,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.3174127,105.7502983"
Bệnh viện Đa khoa huyện Phú Bình,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.4626973,105.9742265"
Bệnh viện Đa khoa huyện Quỳnh Lưu,public,,,,,,"https://www.google.com/maps/search/?api=1&query=19.1754958,105.6536074"
Bệnh viện Đa khoa huyện Sông Mã,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.0370938,103.7543154"
Bệnh viện Đa Khoa Huyện Tây Hòa,public,,,,,,"https://www.google.com/maps/search/?api=1&query=12.9991362,109.2394647"
Bệnh viện Đa khoa huyện Thanh Chương,public,,,,,,"https://www.google.com/maps/search/?api=1&query=18.7774981,105.3393439"
Bệnh Viện Đa Khoa Huyện Thạnh Phú,public,,,,,,"https://www.google.com/maps/search/?api=1&query=9.9514598,106.5153094"
Bệnh viện Đa khoa huyện Trùng Khánh,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.8385506,106.5267797"
Bệnh viện Đa khoa huyện Vĩnh Thạnh,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.2363471,105.4023571"
Bệnh viện Đa khoa huyện Vũ Thư,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.4412577,106.2925886"
Bệnh viện Đa khoa huyện Yên Thành,public,,,,,,"https://www.google.com/maps/search/?api=1&query=19.0160945,105.4430679"
Bệnh viện Đa khoa Hưng Hà,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.5831138,106.2398307"
Bệnh viện Đa khoa Hưng Nhân,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.6076769,106.1539194"
Bệnh viện Đa khoa Hưng Thịnh,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.4767662,103.9747988"
Bệnh viện Đa khoa Khánh Hòa,public,,,,,,"https://www.google.com/maps/search/?api=1&query=12.2485342,109.1919559"
Bệnh viện Đa khoa Khánh Hội,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.7652457,106.7021855"
Bệnh viện Đa khoa Khánh Vĩnh,public,,,Tỉnh lộ 2,,,"https://www.google.com/maps/search/?api=1&query=12.2822952,108.9187204"
Bệnh viện Đa khoa khu vực 333,public,,,,,,"https://www.google.com/maps/search/?api=1&query=12.8109307,108.5217284"
Bệnh viện Đa khoa khu vực ATK,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.8760638,105.433592"
Bệnh viện Đa khoa khu vực Bảo Thắng,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.3164281,104.1917598"
Bệnh viện Đa khoa khu vực Bảo Yên,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.2281353,104.4799992"
Bệnh viện Đa khoa khu vực Bát Xát,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.546047,103.8852932"
Bệnh viện Đa khoa khu vực Bắc Bình Thuận,public,,,,,,"https://www.google.com/maps/search/?api=1&query=11.2236406,108.5022372"
Bệnh viện Đa khoa khu vực Bắc Hà,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.5392791,104.2889994"
Bệnh viện Đa khoa khu vực Bắc Mê,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.7396415,105.3042998"
Bệnh viện Đa khoa khu vực Bắc Quảng Trị,public,,,,,,"https://www.google.com/maps/search/?api=1&query=17.7571293,106.4338556"
Bệnh viện Đa khoa khu vực Bắc Yên,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.2426506,104.4398034"
Bệnh viện Đa khoa khu vực Bố Trạch,public,,,,,,"https://www.google.com/maps/search/?api=1&query=17.5892209,106.5193689"
Bệnh viện Đa khoa khu vực Bồng Sơn,public,,,,,,"https://www.google.com/maps/search/?api=1&query=14.4345318,109.018433"
Bệnh viện Đa khoa khu vực Cà Mau,public,,,36 Lý Thái Tôn,,,"https://www.google.com/maps/search/?api=1&query=9.1804683,105.145586"
Bệnh viện Đa khoa khu vực Cai Lậy,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.4061286,106.1293077"
Bệnh viện Đa khoa khu vực Cẩm Phả,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.0060901,107.3485238"
Bệnh viện Đa khoa khu vực Củ Chi,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.9755291,106.4769446"
Bệnh viện Đa khoa khu vực Cù Lao Minh,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.1211738,106.3135695"
Bệnh viện Đa khoa khu vực Đặng Thuỳ Trâm,public,,,,,,"https://www.google.com/maps/search/?api=1&query=14.8168347,108.9609151"
Bệnh viện Đa khoa khu vực Đất Mũi,public,,,,,,"https://www.google.com/maps/search/?api=1&query=8.6030371,104.7542183"
Bệnh viện Đa khoa khu vực Đồng Hới,public,,,,,,"https://www.google.com/maps/search/?api=1&query=17.4536021,106.6213896"
Bệnh viện Đa khoa khu vực Đồng Văn,public,,,,,,"https://www.google.com/maps/search/?api=1&query=23.2756427,105.3692159"
Bệnh viện Đa khoa khu vực Gò Công,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.3519219,106.6832141"
Bệnh viện Đa khoa khu vực Hậu Nghĩa,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.8792828,106.3941248"
Bệnh viện Đa khoa khu vực Hòa Long,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.2866938,105.6639447"
Bệnh viện Đa khoa khu vực Hoà Phú,public,,,,+84 270 3811 999,https://bvhoaphu.vinhlong.gov.vn/,"https://www.google.com/maps/search/?api=1&query=10.1883992,105.9426585"
Bệnh viện Đa khoa khu vực Hoàng Su Phì,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.7390863,104.6800523"
Bệnh viện Đa khoa khu vực Hóc Môn,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.8826218,106.5929391"
Bệnh viện Đa khoa khu vực Hồng Ngự,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.8036865,105.3515292"
Bệnh viện Đa khoa khu vực Hướng Hoá,public,,,,,,"https://www.google.com/maps/search/?api=1&query=16.6242818,106.7319081"
Bệnh viện Đa khoa khu vực kết hợp Quân dân y tỉnh Vĩnh Long,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.1724846,105.7764742"
Bệnh viện Đa khoa khu vực Kim Xuyên,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.5587536,105.2785369"
Bệnh viện Đa khoa khu vực La Gi,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.6841856,107.752708"
